General information;;;;;Effects;;;Additionally;
10;Threat of a process leaving the VM;"The threat lies in the possibility that a malicious program can launch its own hypervisor, which functions at a level of logical interaction lower than the compromised hypervisor. 
This threat is caused by vulnerabilities in the hypervisor software, which implements the function of a sandboxed software environment for programs running in it, as well as weaknesses in hardware support instructions for virtualization at the processor level.
The implementation of this threat leads not only to the compromise of the hypervisor, but also to the protection tools running in the virtual environment created by it, and, consequently, to their inability to perform security functions against malicious programs that operate under the control of their own hypervisor.";"External intruder with medium potential; Internal intruder with medium potential";Information system, network node, storage medium, file system objects, user credentials, virtual machine image;1;1;1;20.03.2015;08.02.2019
11;Threat to deauthorize an authorized wireless network client;"The threat is caused by the ability to automatically terminate the connection of a wireless access point to an authorized wireless network client.
This threat is caused by the weakness of network communication technologies over wireless data transmission channels – information about the MAC addresses of wireless clients is available to all network interaction participants. 
The implementation of this threat is possible if the intruder connects a device to the wireless network, the MAC address of which will completely coincide with the MAC address of the discredited authorized client.";"External intruder with low potential; Internal intruder with low potential";Network Node;0;0;1;20.03.2015;08.02.2019
12;Threat of destructive changes to the program configuration/environment;"The threat consists in the possibility of destructive software impact on the discredited application by manipulating the configuration files or libraries used by it. 
This threat is caused by weaknesses in the integrity control measures of configuration files or libraries used by applications. 
This threat can be implemented if the violator has the rights to write to file objects associated with the configuration / environment of the program, or the ability to redirect requests of the discredited program from protected file objects to false ones.";Low-potential domestic intruder;System software, Application software, network software, firmware, metadata, file system objects, registry;1;1;1;20.03.2015;08.02.2019
13;Threat of destructive use of declared BIOS functionality;"The threat lies in the possibility of misuse of the declared BIOS/UEFI functionality to violate the integrity of information stored on external storage media and in the computer's random access memory. 
This threat is caused by vulnerabilities in the BIOS/UEFI software intended for testing and maintaining the computer (memory integrity checking tools, RAID controller management software, etc.). 
The implementation of this threat may be facilitated by the ability to update some BIOS/UEFI without passing authentication.";Low-potential domestic intruder;BIOS/UEFI Firmware;0;1;0;20.03.2015;08.02.2019
14;Threat of long-term retention of computing resources by users;"The threat consists in the ability of an intruder to restrict end-user access to a computing resource by forcibly holding it in a loaded state by repeatedly performing certain destructive actions or exploiting vulnerabilities in programs that distribute computing resources between tasks. 
This threat is caused by weaknesses in the load balancing and computing resource allocation mechanisms. 
A threat can be implemented if the intruder has the ability to make requests that collectively take longer to complete than the user's requests.";"External intruder with low potential; Internal intruder with low potential";Information system, network node, storage medium, system software, network software, network traffic;0;0;1;20.03.2015;08.02.2019
15;Threat of access to protected files using a workaround;"The threat consists in the possibility of an intruder gaining access to hidden / protected directories or files through various actions on the file system (adding additional characters in the file path; accessing files that are not explicitly specified in the application window). 
This threat is caused by weaknesses in the mechanism for delimiting access to file system objects. 
The implementation of this threat is possible under the following conditions:
 the violator has access rights to some file system objects; 
no verification of user input data;
 the discredited program has too high access privileges to files that are not supposed to be processed using it";"External intruder with low potential; Internal intruder with low potential";File system Objects;1;0;0;20.03.2015;08.02.2019
16;Threat of accessing local server files using URLs;"The threat consists in the possibility that the intruder sends a request for access to the user's file system to the discredited browser instead of a URL request. In this case, the browser executes this request with the rights it was granted at startup, and passes the data obtained as a result of this operation to the intruder. 
This threat is caused by weaknesses in the mechanism for checking user input requests, which does not distinguish between requests for file system access and URL requests. 
This threat can be implemented if the intruder has privileges to send requests to the browser operating in the discredited system.";External intruder with medium potential;Network Software;1;0;0;20.03.2015;08.02.2019
17;Threat of access/interception/modification of HTTP cookies;"The threat consists in the possibility of unauthorized access by the violator to the protected information (user accounts, certificates, etc.) contained in cookies, during their storage or transmission, in read mode (disclosure of confidentiality) or writing (making changes to implement the threat of spoofing a trusted user).
This threat is caused by weaknesses in the cookie protection measures: the lack of verification of the entered data by the network service that uses cookies, as well as the lack of encryption when transmitting cookies.
The implementation of this threat is possible under the conditions of successful unauthorized access to cookies by the violator and the lack of verification of the integrity of their values by the discredited application.";External intruder with low potential;Application software, network software;1;0;1;20.03.2015;08.02.2019
18;Threat of loading an abnormal operating system;"The threat consists in the possibility of an intruder replacing the loaded operating system by unauthorized reconfiguration of the access path to the operating system loader in the BIOS/UEFI.
This threat is caused by weaknesses in the technologies used to differentiate access to BIOS/UEFI management.
The implementation of this threat is possible if the following BIOS/UEFI configuration parameter is available to the intruder-indicating the source of loading the operating system";Low-potential domestic intruder;BIOS/UEFI Firmware;1;1;1;20.03.2015;08.02.2019
19;Threat of DNS cache infection;"The threat consists in the possibility of an intruder redirecting network traffic through its own network node by indirectly changing the correspondence tables of IP and domain names stored in the DNS server, by generating an avalanche of possible responses to a DNS server request to a legitimate user, or by exploiting DNS server vulnerabilities. 
This threat is caused by weaknesses in the authentication mechanisms of network interaction actors, as well as DNS server vulnerabilities that allow you to directly replace the DNS cache of the DNS server. 
This threat can be implemented if the intruder has sufficient privileges to send network requests to the DNS server.";External intruder with low potential;Network node, network software, network traffic;1;0;0;20.03.2015;08.02.2019
20;Threat of abuse of opportunities provided to consumers of cloud services;"The threat consists in the possibility that a consumer of cloud services (an intruder) can send spam, unauthorized access to the virtual machines of other cloud service consumers, or perform other destructive software actions on various systems using leased cloud server resources. 
This threat is caused by the fact that the consumer of cloud services can install their own software on the cloud server. 
This threat can be implemented by installing and running malicious software on the cloud server by the consumer of cloud services. Successful implementation of this threat by a cloud service consumer has a negative impact on the reputation of the cloud service provider";Low-potential domestic intruder;Cloud system, virtual machine;1;1;1;20.03.2015;08.02.2019
21;Threat of abuse of trust of cloud service consumers;"The threat consists in the possibility that the security of cloud service consumers ' information may be violated (accidentally or intentionally) by internal intruders of the cloud service provider.
This threat is caused by the fact that a significant part of the security functions has been transferred to the responsibility of the cloud service provider, as well as the inability of the cloud service consumer to take protection measures against the actions of the cloud service provider's employees. 
This threat can be implemented if cloud service consumers are not part of the organization that provides these cloud services (i.e., the consumer has actually transferred their own information to the provider for processing).";External intruder with low potential;Cloud system;1;1;0;20.03.2015;08.02.2019
22;Threat of excessive RAM allocation;"The threat consists in the possibility of allocating significant RAM resources to serve malware requests and, accordingly, reducing the amount of RAM resources available in the system for allocating in response to requests from legitimate users ' programs.
This threat is caused by the presence of weaknesses in the mechanism for controlling the allocation of RAM to various programs. 
This threat can be implemented if malicious software is found in the active state of the system";"External intruder with low potential; Internal intruder with low potential";Hardware, System software, Network software;0;0;1;20.03.2015;08.02.2019
23;Threat of changing components of an information (automated) system;"The threat consists in the possibility of an intruder gaining access to the network, files, bookmarks, etc. by unauthorized changes in the composition of the software or hardware of the information system, which in the future will allow this intruder (or another external one who has discovered an unauthorized access channel to the system) to perform unauthorized actions in this system. 
This threat is caused by weaknesses in control measures for the integrity of the hardware configuration of the information system. 
This threat can be implemented if the violator successfully obtains the necessary permissions in the system and is able to connect additional peripheral equipment";Low-potential domestic intruder;Information system, server, workstation, virtual machine, system software, application software, hardware;1;1;1;20.03.2015;15.11.2019
24;Threat of changing the operating modes of computer hardware elements;"The threat lies in the possibility of an intruder changing the operating modes of the computer's hardware elements by unauthorized reconfiguration of the BIOS/UEFI, which allows: 
by changing the system bus frequency, data transmission mode over communication channels, etc. to affect the overall performance of the computer or cause malfunctions in its operation;
by lowering the input voltage, turning off cooling systems temporarily ensure that the computer is inoperable; 
by setting invalid parameters for the operation of devices (the threshold value for disconnecting the device in case of overheating, input voltage, etc.), lead to physical failure of individual hardware elements of the computer. 
This threat is caused by weaknesses in the technologies used to differentiate access to BIOS/UEFI management.
The implementation of this threat is possible if the intruder has privileges to change the corresponding BIOS/UEFI settings.";A high-potential domestic intruder;BIOS/UEFI firmware and hardware;0;1;1;20.03.2015;08.02.2019
25;Threat of changing system and global variables;"The threat consists in the possibility of an intruder's indirect destructive software impact on some programs or the system as a whole by changing the common system and global variables used by discredited programs. 
This threat is caused by weaknesses in the shared memory access control mechanism, as well as vulnerabilities in application software modules that control the integrity of external variables. 
The implementation of this threat is possible if the violator has successfully unauthorized access to system and global variables and there is no verification of the integrity of their values by the discredited application";An internal intruder with an average potential;System software, Application software, Network software;1;1;1;20.03.2015;08.02.2019
26;Threat of XML schema corruption;"The threat consists in the possibility of an intruder changing the algorithm of information processing by applications operating on the basis of XML schemas, up to bringing the application into a ""denial of service"" state, by changing the XML schema transmitted between the client and the server. 
This threat is caused by weaknesses in measures to ensure the integrity of data transmitted during client-server interaction, as well as weaknesses in the network interaction mechanism of open systems.
The implementation of this threat is possible if the violator has successfully unauthorized access to network traffic transmitted between the client and server, and the discredited application does not check the integrity of the XML schema.";"External intruder with medium potential; Internal intruder with medium potential";Network node, network software, network traffic;0;1;1;20.03.2015;08.02.2019
27;Threat of distortion of information entered and output to peripheral devices;"The threat consists in the possibility of misinformation of users or automatic control systems by replacing or distorting the source data coming from sensors, keyboards or other input devices, as well as replacing or distorting information output to the printer, operator's display or other peripheral devices.
This threat is caused by weaknesses in anti-virus protection measures and control over the validity of input and output data, as well as errors made during special checks of computer hardware. 
This threat can be implemented if the discredited information system contains malicious software (for example, virtual device drivers) or hardware bookmarks";"External intruder with high potential; Internal intruder with low potential";System software, Application software, Network software, hardware;0;1;0;20.03.2015;08.02.2019
28;Threat of using alternative ways to access resources;"The threat consists in the possibility of unauthorized access to protected information by an intruder bypassing standard mechanisms using non-standard interfaces (including access via the command line bypassing the graphical interface).
This threat is caused by weaknesses in access control measures for protected information, and weaknesses in filtering input data. 
This threat can be implemented if the violator has:
the ability to enter arbitrary data in the address bar; 
information about the path to the protected resource; 
the ability to change the input data input interface";"External intruder with low potential; Internal intruder with low potential";Network node, file system objects, application software, system software;1;0;0;20.03.2015;08.02.2019
29;"Threat of using supercomputer computing resources by ""parasitic"" processes";"The threat consists in the possibility of a significant decrease in the performance of the computing field of the supercomputer and the efficiency of running current parallel calculations on it due to the consumption of computing resources of the supercomputer by ""parasitic"" processes (""descendant processes"" of previous tasks or processes launched by malicious software).
This threat is caused by weaknesses in memory cleaning measures for ""descendant processes"" of completed tasks, as well as processes started by malicious software. 
The implementation of this threat is possible if the completed tasks are completed incorrectly or if malicious processes are present in the supercomputer's memory in the active state";"External intruder with low potential; Internal intruder with low potential";Computing nodes of a supercomputer;0;0;1;20.03.2015;08.02.2019
30;Threat of using default identification/authentication information;"The threat consists in the possibility for the violator to pass the authorization procedure based on identification and authentication information obtained from open SOURCES_X000D_
or from the information service corresponding to the ""default"" account of the discredited security object. 
This threat is caused by the fact that many software and hardware manufacturers provide ""default"" accounts intended for initial login to the system, or by the fact that when passing the registration procedure on the information service, the automatic password generation mechanism issues the same or similar passwords to users with similar logins. Moreover, on many devices, 
identification and authentication information can be returned to the ""default"" setting after performing a hardware reset of system parameters (the Reset function). 
The implementation of this threat is possible under one of the following conditions:
 the violator has information about the manufacturer/model of the security object and the availability in open sources of information about identification and authentication information corresponding to the ""default"" account for the security object;  the
violator successfully completes the procedure for identifying this information during the analysis of the program code of the discredited security object
whether the intruder has information about the login used when registering the attacked user";"Internal intruder with low potential; External intruder with medium potential";Information protection tools, system software, network software, firmware, software and hardware with built-in protection functions;1;1;1;20.03.2015;25.11.2020
31;Threat of using authorization mechanisms for privilege escalation;"The threat lies in the possibility of an intruder gaining access to data and functions intended for accounts with higher privileges than the intruder, due to errors in the configuration parameters of access control tools. At the same time, the intruder does not perform a destructive software impact on the system to increase its privileges, but only uses existing errors.
This threat is caused by weaknesses in program and file access control measures. 
This threat can be implemented if the intruder has any privileges in the system";"External intruder with low potential; Internal intruder with low potential";System software, Application software, Network software;1;0;0;20.03.2015;08.02.2019
32;Threat of using fake BIOS digital signatures;"The threat consists in the possibility of installing a vulnerable version of the BIOS/UEFI update or a version containing malicious software but digitally signed. 
This threat is caused by weaknesses in measures to control the reliability of digital signature issuing centers.
This threat can be implemented if an unreliable certificate authority issues a digital signature for a version of the BIOS/UEFI update containing vulnerabilities, or for a version containing malicious software (i.e., if such a center performs forgery), as well as if the intruder substitutes a trusted update source";External intruder with medium potential;BIOS/UEFI firmware and hardware;0;1;0;20.03.2015;08.02.2019
33;Threat of exploiting weaknesses in input data encoding;"The threat consists in the possibility of the violator of destructive information impact on the discredited system by manipulating the values of input data and the form of their provision (alternative encodings, incorrect file extension, etc.). 
This threat is caused by weaknesses in the input data control mechanism. 
This threat can be implemented under the following conditions: 
the discredited system accepts input data from the intruder; 
the intruder has the ability to control one or more input data parameters";"External intruder with medium potential; Internal intruder with medium potential";System software, Application software, Network software, Firmware, Registry;0;1;1;20.03.2015;08.02.2019
34;Threat of exploiting weaknesses in network/local data exchange protocols;"The threat consists in the possibility of unauthorized access by the violator to the protected information transmitted in the system due to the destructive impact on the network/local data exchange protocols in the system by violating the rules for using these protocols.
This threat is caused by weaknesses in the protocols themselves (the algorithms embedded in them), errors made during the implementation of protocols, or vulnerabilities introduced by automated design/development tools. 
This threat can be implemented if there are weaknesses in the network/local data exchange protocols.";"External intruder with low potential; Internal intruder with low potential";System software, Network software, Network traffic;1;1;1;20.03.2015;15.11.2019
35;Threat of using weak cryptographic BIOS algorithms;"The threat lies in the complexity of verifying real operation parameters and algorithms implemented in BIOS/UEFI cryptographic tools. However, trust in cryptographic protection will be limited to trust in the BIOS manufacturer. 
This threat is caused by the complexity of using native cryptographic algorithms in the BIOS/UEFI software. 
The ability to implement this threat reduces the reliability of the assessment of the real level of security of the system";External intruder with high potential;BIOS/UEFI Firmware;1;1;1;20.03.2015;08.02.2019
36;Threat of research of the program's working mechanisms;"The threat consists in the possibility for the violator to reverse engineer the program code and further study its structure, functionality, and composition in order to determine the program's algorithm and search for vulnerabilities in it.
This threat is caused by weaknesses in the mechanism for protecting the program code from research. 
This threat can be implemented if:
 the intruder has access to the source files of the program;
 the intruder has access to the program distribution and there is no mechanism to protect the program code from investigation";"External intruder with medium potential; Internal intruder with medium potential";System software, Application software, Network software, Firmware;1;0;1;20.03.2015;08.02.2019
37;Threat of app research through bug reports;"The threat lies in the possibility of an intruder investigating the algorithm of the discredited application and its intended structure by analyzing the error reports generated by this application. 
This threat is caused by the placement of protected information (or information that can be generalized to reveal protected information about the system) in the generated error reports. 
This threat can be implemented if the intruder has access to error reports generated by the application and there is redundancy in the data contained in them.";"External intruder with medium potential; Internal intruder with medium potential";System software, Application software, Network software, Firmware;1;0;0;20.03.2015;08.02.2019
38;Threat of running out of computing resources for big data storage;"The threat lies in the possibility of a temporary denial-of-service condition in the big data warehouse. 
This threat is caused by the constant difficult-to-control filling of occupied disk space due to data continuously coming from various information sources, and weaknesses in information access and storage technologies in big data warehouses. 
The implementation of this threat is possible if the data transfer rate is instantaneous (current) exceeding the speed of their storage (due to insufficient bandwidth of the communication channel or the speed of allocating free space and saving incoming data to it) or if there is a temporary lack of free space in the storage (due to incorrect storage management or as a result of the intruder's destructive software effects on the storage filling control mechanism by changing parameters or logic of its operation)";Low-potential domestic intruder;Information system;0;0;1;20.03.2015;08.02.2019
39;Threat of running out of keys required for updating the BIOS;"The threat lies in the possibility of violation (impossibility of implementation) of the BIOS/UEFI update procedure when the stock of keys necessary for its implementation is exhausted.
This threat is caused by a limited set of keys required for updating the BIOS/UEFI.
The implementation of this threat is possible by exploiting vulnerabilities in the key set update tools, or by using key search software tools by the violator.";External intruder with medium potential;BIOS/UEFI Firmware;0;1;0;20.03.2015;08.02.2019
40;Threat of a conflict of jurisdictions in different countries;"The threat consists in the possibility of refusal to transfer protected information across borders within the framework of cloud services in accordance with the requirements of the local legislation of countries whose residents participate in the provision of cloud services. 
This threat is caused by the fact that, depending on the specifics of the legislation of various countries whose residents participate in the provision of cloud services, legal measures of various jurisdictions can be used to ensure information security. 
The implementation of this threat is possible provided that information security in the course of providing cloud services is subject to legal measures of various jurisdictions that contradict each other in a number of issues";External intruder with low potential;Cloud system;0;0;1;20.03.2015;08.02.2019
41;Cross-site Scripting Threat;"The threat lies in the possibility of the intruder introducing malicious code sections on the site of the discredited system in such a way that it will be executed on the workstation of the user viewing this site. 
This threat is caused by weaknesses in the security verification mechanism when processing requests and data coming from the website. 
The threat can be implemented if the client software supports script execution, and the intruder has the ability to send requests and data to the discredited system.";External intruder with low potential;Network node, network software;1;1;1;20.03.2015;08.02.2019
42;Threat of cross-site request forgery;"The threat consists in the possibility that the violator sends a link to a web resource containing malicious code to the discredited user, and when they click on it, illegal malicious actions will automatically be performed on behalf of the discredited user. 
This threat is caused by browser vulnerabilities that allow you to perform actions without confirmation or authentication by a discredited user. 
The threat can be implemented if the discredited user saves authentication information using the browser.";External intruder with medium potential;Network node, network software;1;1;1;20.03.2015;08.02.2019
43;Threat of cloud server availability violation;"The threat is the possibility of stopping the provision of cloud services to all consumers (or a group of consumers) due to a violation of the availability of cloud infrastructure for them. 
This threat is caused by the fact that ensuring availability is not a specific requirement for information security for cloud technologies, and, in addition, cloud systems are implemented in accordance with a service-oriented approach. 
This threat can be implemented when one or more cloud servers go into a denial-of-service state. Moreover, the ability to dynamically change the volume of cloud services provided to consumers can be used by an intruder to implement a threat. At the same time, a successfully implemented threat against just one cloud service can disrupt the availability of the entire cloud system.";"External intruder with low potential; Internal intruder with low potential";Cloud system, cloud server;0;0;1;20.03.2015;08.02.2019
44;Threat of breaking the isolation of user data inside the VM;"The threat consists in the possibility that malicious software operating outside the VM can compromise the security of user data of programs operating inside the VM.
This threat is caused by the presence of vulnerabilities in the hypervisor software, which ensures that the address space used for storing user data of programs operating inside the VM is isolated from unauthorized access by malicious software operating outside the VM.
The implementation of this threat is possible if the malicious program code successfully overcomes the boundaries of the virtual machine not only by exploiting the hypervisor's vulnerabilities, but also by performing such an impact from lower (relative to the hypervisor) levels of system functioning";"External intruder with medium potential; Internal intruder with medium potential";Virtual machine, hypervisor;1;1;1;20.03.2015;08.02.2019
45;Threat of BIOS execution environment isolation violation;"The threat consists in the possibility of changing the parameters and/or logic of the BIOS / UEFI software operation by software intervention from the computer's operating system or by unauthorized access to the network communication channel of the server service processor.
This threat is caused by weaknesses in technologies used to differentiate access to the BIOS / UEFI, its administration and update functions, from the operating system or communication channels. 
This threat can be implemented:
from the operating system – provided that the BIOS/UEFI functionality is available for updating and/or managing the BIOS / UEFI software from the operating system; 
from the network side – provided that the discredited server service processor has sufficient privileges to manage the entire system, including modifying the BIOS/UEFI servers of the system, and the discredited server";Low-potential domestic intruder;BIOS/UEFI firmware and hardware;1;1;1;20.03.2015;08.02.2019
46;Threat of violation of the authentication procedure for subjects of virtual information interaction;"The threat lies in the possibility of spoofing the subject of virtual information interaction, as well as in the possibility of a state of inability to implement such interaction. 
This threat is caused by the presence of many different protocols for mutual identification and authentication of virtual, virtualized, and physical access subjects that interact with each other during data transfer both within one level of the virtual infrastructure and between its levels. 
This threat can be implemented if errors occur during authentication of subjects of virtual information interaction";"External intruder with low potential; Internal intruder with low potential";Network node, network software, metadata, user credentials;1;0;1;20.03.2015;08.02.2019
47;Threat of grid system failure under atypical network load;"The threat lies in the possibility of a significant decrease in the performance of the grid system, up to a temporary disruption of its performance when an atypical network load appears (including those caused by a distributed DoS attack, the activity of other users on the network, etc.). 
This threat is caused by the weakness of grid computing technologies – the performance of the grid system strongly depends on the load of communication channels, which is a consequence of the maximum territorial distribution of the grid system computing module among all types of information systems.
The implementation of this threat is possible if the grid system task manager does not have sufficient control over the state of individual grid system nodes";"External intruder with medium potential; Internal intruder with medium potential";Grid system, network traffic;0;0;1;20.03.2015;08.02.2019
48;Threat of violation of information processing technology by unauthorized changes to VM images;"The threat consists in the possibility of performing destructive software impact on the discredited system or indirect destructive software impact through it on other systems by performing unauthorized access to virtual machine images. 
This threat is caused by weaknesses in access control measures for VM images implemented in the virtualization software. 
The implementation of this threat may lead to: 
violation of the confidentiality of protected information processed using virtual machines created on the basis of unauthorized modified images; 
violation of the integrity of programs installed on virtual machines; 
violation of the availability of virtual machine resources;
creation of a botnet by injecting malicious software into virtual machine images used in virtual machines. as templates (reference images)";"External intruder with medium potential; Internal intruder with medium potential";Virtual machine image, network node, network software, virtual machine;1;1;1;20.03.2015;08.02.2019
49;Threat of cache data integrity violation;"The threat consists in the possibility of an intruder placing incorrect (potentially dangerous) data in the cache of an application (for example, a browser) or a service (for example, DNS or ARP) in such a way that the discredited application (or service) will consider this data correct before updating the cache. 
This threat is caused by weaknesses in the cache integrity control mechanism. 
This threat can be implemented if the attacker has successfully unauthorized access to cache data and there is no verification of the integrity of data in the cache by the discredited application (or service)";"External intruder with low potential; Internal intruder with low potential";Network Software;0;1;1;20.03.2015;08.02.2019
50;Threat of incorrect detection of the format of input data entering the big data warehouse;"The threat lies in the possibility of distortion of information stored in the big data warehouse, or failure to save when transferring data in some formats to it. 
This threat is caused by weaknesses in technologies for determining the format of input data based on additional service information (file headers and network packets, file extensions, etc.), as well as technologies for adaptive selection and application of methods for processing multi-format information in big data warehouses. 
This threat can be implemented if additional service information about the data does not correspond to its actual content for any reason, or the big data warehouse does not implement methods for processing data in the resulting format.";Low-potential domestic intruder;Big data storage, metadata;0;1;0;20.03.2015;08.02.2019
51;Threat of inability to restore the PC session when switching out of intermediate power states;"The threat lies in the possibility of losing unsaved data processed in the previous session of work on the computer, as well as in the possibility of losing time to resume work on the computer. 
This threat is caused by errors in the implementation of computer hardware and software components related to power supply. 
This threat can be implemented if the computer cannot be brought out of intermediate power states (""standby mode"", ""hibernation"", etc.).";Low-potential domestic intruder;Workstation, storage media, system software, metadata, file system objects, registry;0;1;1;20.03.2015;11.02.2019
52;Threat of not being able to migrate VM images due to hardware and software incompatibilities;"The threat is caused by the possibility that the cloud service consumer will have insurmountable difficulties in changing the cloud service provider due to technical difficulties in implementing the procedure for migrating VM images from the cloud system of one cloud service provider to the system of another. 
This threat is caused by the fact that each cloud service provider uses hardware and software from various manufacturers to implement its activities, some of which may use manufacturer-specific instructions, protocols, methods, switching schemes, and other features of implementing its functionality. 
This threat can be implemented if the standard software data exchange interfaces (APIs) for implementing the procedure for migrating VM images between different cloud service providers in one or both directions are incompatible. 
This threat also restricts the ability of the cloud service provider to change hardware and software manufacturers, which may lead to a violation of the integrity and availability of information due to the fault of the cloud service provider.";External intruder with low potential;Cloud infrastructure, virtual machine, hardware, system software;0;1;1;20.03.2015;11.02.2019
